index,followers,connections,time_spent,content_links,media_type,num_hashtags,hashtag_followers,hashtags,reactions,comments,views,content,label
190,88720.0,500+,4 months ago,[],article,0,0,[],6,1,,"Start now about new traditions beyond Halloween -- new traditions for Thanksgiving and Xmas/Channukah/Kwanzaa.  It is not too early to start planning. And some may be so good, they replace old traditions.  Read on.",Others
194,88720.0,500+,4 months ago,[],article,0,0,[],5,0,,A piece that focuses on how we need to recognize our feelings. Mention made of the Dak Prescott injury too -- and the road before him.,Others
198,88720.0,500+,4 months ago,"[['https://lnkd.in/dpyNStH', 'https://lnkd.in/dpyNStH']]",article,0,0,[],0,0,,"Consider enrolling in this course on Trauma Anniversaries at Rutgers Graduate School of Social Work, Dec. 9 online from 9 --12. See link to learn about course and registration. $60.  https://lnkd.in/dpyNStH .     In addition to social workers, this will be a valuable course for school psychologists, educators, HR personnel, among others. The point is that many anniversaries are coming up and the prior traditions for dealing with anniversaries have changed. How do we handle the pandemic anniversary and the anniversaries of those who passed away from COVID? How do we deal with anniversaries of traumatic events like suicides and shootings and death by overdoses?  We need to plan and reflect ahead of time so we don't end up retriggering older trauma.  Hope to see you there. The time to do the planning is now. 
 
 
 …see more",Events
199,88720.0,500+,4 months ago,"[['https://lnkd.in/duzJMiP', 'https://lnkd.in/duzJMiP.']]",article,0,0,[],13,3,,"A nice update to share: @JerseyFamilyFun has recognized my children's book ""Are You a Giraffe"" as a must read book. Check out their 25+ Books White Kids Should Read About Racism for more details.  https://lnkd.in/duzJMiP.",Interactive Promotions
200,88720.0,500+,5 months ago,[],article,0,0,[],9,0,,We need to help our students now.  For real.  Time is a wastin'.,Others
210,88720.0,500+,5 months ago,"[['https://lnkd.in/eCgEc8J', 'https://lnkd.in/eCgEc8J'], ['https://lnkd.in/etGtp8N', 'https://lnkd.in/etGtp8N']]",article,0,0,[],8,1,,"Here's a new podcast on my new book. Enjoy. Comments welcome. Book available at Amazon and  https://lnkd.in/eCgEc8J .   Jethro Jones did a great job.   https://lnkd.in/etGtp8N 
 
 
 …see more",Others
213,88720.0,500+,6 months ago,[],article,0,0,[],2,0,,Consider this piece on aphorisms -- those that need to be discarded and those to add or preserve.,Others
218,88720.0,500+,6 months ago,[],article,0,0,[],1,1,,"An honest assessment of our mind, widowhood and finding balance. I hope the thoughts and share experiences are of help to others.",Others
292,88720.0,500+,10 months ago,[],article,0,0,[],2,0,,See if this helps with getting along with family and coworkers.  It has been updated since first version to expand ideas.  Share reactions please .... examples too so it can be further expanded.,Others
296,88720.0,500+,10 months ago,"[['mailto:WrinklesGetsIt@yahoo.com', 'WrinklesGetsIt@yahoo.com'], ['https://lnkd.in/dz3JjmD', 'https://lnkd.in/dz3JjmD.']]",video,0,0,[],7,0,,"Very pleased to share that Wrinkles Doesn't Like Social Distancing, an online video book for children that is available for free, has been viewed over 3000 times -- counting musical version and non-musical versions (link attached). Wrinkles does want email and kids can send him letters and images.  I am collecting them for him and reading the letters to him.   WrinklesGetsIt@yahoo.com    We still need this resource.  Please use it, share it, forward it, enjoy it.  Let’s get to 6000 views by May 30th.... social distancing will not have disappeared by then!!!! https://lnkd.in/dz3JjmD. 
 
 
 …see more",Interactive Promotions
319,88720.0,500+,11 months ago,"[['mailto:WrinklesGetsIt@yahoo.com', 'WrinklesGetsIt@yahoo.com']]",article,0,0,[],0,0,,Look at Wrinkles story.  Read it to kids or with kids or have it read by kids.  (There is a podcast too).  Then write Wrinkles a letter to help him handle social distancing.  His email:  WrinklesGetsIt@yahoo.com .  Send drawings too!!!!,Others
328,88720.0,500+,11 months ago,"[['https://lnkd.in/eCgEc8J', 'https://lnkd.in/eCgEc8J'], ['https://lnkd.in/eC6sD5J', 'https://lnkd.in/eC6sD5J']]",article,0,0,[],2,0,,"I did a podcast in Jan., before the pandemic became the pandemic. It was on creating trauma responsive schools and why we need them.  Who knew that every school that's shut and reopens will need to be trauma responsive?   Here are the slide from that podcast (from the Yes We Must Coalition website) and feel free to use them and share them as needed. They are based on my forthcoming book (grounded in research and in the trenches experiences from Teachers College Press (updated to address virus) due out June2020. Pre-order  https://lnkd.in/eCgEc8J .  Order now. https://lnkd.in/eC6sD5J /1122/strategies-trauma-responsive-inst_ywmc_1-31-20.pdf 
 
 
 …see more",Others
333,88720.0,500+,11 months ago,[],article,0,0,[],0,0,,Help kids. Get them this resource. Use your networks. Reach teachers of your own kids.  Reach organizations.  Reach out far and wide and deep.  Our kids need to process what is happening in our world.  Thanks and stay safe and be well.,Educational Resources
339,88720.0,500+,11 months ago,[],article,0,0,[],1,0,,"Free resource to help children understand social distancing. Will appear as an ebook and podcast and video. For now, use this link and watch for updates. It can be read to and with children. When podcast is out, hear me read the story and join in by reading along.  With ebook, read as a group.  Create a reading room.  With more schools staying closed, we need to find other ways to connect. 
 
 
 …see more",Others
354,88720.0,500+,1 year ago,"[['https://www/tcpress.com/karen-gross', 'https://www/tcpress.com/karen-gross']]",image,0,0,[],9,0,,"I am worried that we are not handling the messaging related to the coronavirus well for children in schools/educational institutions. We may be exacerbating not alleviating trauma.  Watch for new post with suggestions for educators.  We don't want fear and anxiety.  We don't want discrimination against students of certain origins. We don't want separation worries and we need object constancy.  Will offer ideas based on my forthcoming book that can be pre-ordered, Trauma Doesn't Stop at the School Door (June 2020)  Reach out to Teachers College Press at  https://www/tcpress.com/karen-gross .  There are group discounts too.  And steep discounts if I present in person or via SKYPE, Zoom or Facetime or similar access means.  Contact Michael McGann at the press for these discounts.  Watch for post with concrete suggestions. 
 
 
 …see more",Professional Growth
357,88720.0,500+,1 year ago,"[['https://www.linkedin.com/company/teachers-college-press/', 'Teachers College Press']]",article,0,0,[],3,0,,"The pre-order link for my new book on trauma (a sidequel to Breakaway Learners) is now active.  Pre-order now and get discount on ebook. Trauma Doesn’t Stop at the School Door has June 2020 pub date.  One more thing:  sizable group discounts available from  Teachers College Press  if I present in person or via Zoom or Skype.  Contact me or Michael McGann at the Press. Link: 
 
 
 …see more",Interactive Promotions
360,88720.0,500+,1 year ago,"[['https://lnkd.in/ewPZnRG', 'https://lnkd.in/ewPZnRG'], ['https://lnkd.in/ezsZiQH', 'https://lnkd.in/ezsZiQH']]",article,0,0,[],3,2,,"Read this piece. https://lnkd.in/ewPZnRG Then read this piece suggesting that apologies were not enough and anticipating the devastation to athletes. https://lnkd.in/ezsZiQH 
 
 
 …see more",Others
362,88720.0,500+,1 year ago,[],image,0,0,[],0,0,,"Well, another quandary with respect to which I need some insight.  I just read the stories about the predator/ cult leader Larry Ray and his involvement with students at Sarah Lawrence College (including his own daughter).  It took a while but he was just arrested (later than necessary). The NYMagazine piece is chilling. My questions do not relate to the power of a cult figure on young people.  We have many examples of this... sadly. Here’s what I don’t get:  where were the Sarah Lawrence administrators and staff? Apparently, at least one knew something was “up” in a specific dorm and did not address the issues.  Perhaps a parent can spend a night or two or three in a dorm but Larry Ray’s stay appears to be much longer.  Didn’t folks notice?  Wasn’t there an RA?  I frankly am hard pressed to believe the College could claim to be so hands off or ignorant or accepting of parents living on campus. Weren’t red lights flashing? Lives and relationships were ruined.  What responsibility did/does Sarah Lawrence have and are the personnel then there  still employed?  Years in question seem to be 2010 — 2014.   There must be another piece or two of three that I am missing.  I have known some administrators there — remarkable people. Explain to me what happened please. 
 
 
 …see more",Others
381,88720.0,500+,1 year ago,"[['https://lnkd.in/eFHUTCk', 'https://lnkd.in/eFHUTCk']]",article,0,0,[],2,0,,"Thought this article might be of interest and ideally of use to those who deal with  trauma within their organizations. https://lnkd.in/eFHUTCk 
 
 
 …see more",Others
398,88720.0,500+,1 year ago,[],article,0,0,[],3,1,,Here's a follow-on to an earlier piece I wrote. I promised a longer piece.  Voila:,Others
433,88720.0,500+,1 year ago,"[['https://lnkd.in/e-bR3RW', 'https://lnkd.in/e-bR3RW']]",image,0,0,[],4,1,,"I have been doing a lot of thinking lately about how the government spends money -- how it allocates its dollars (our dollars).  I have been struck by the no-bid Cerner contract with the VA to move to electronic health records which is estimated to cost $16 billion.  No typo.  See:  https://lnkd.in/e-bR3RW .   So, here's my question: What can you get for $16 billion if we had other spending priorities?  What disease could we cure for that amount?  Could we have universal early childhood education for that amount?  We have legislation with mandates that are unfunded; suppose we looked at some of those to fund?  A recent NY Times piece noted the proliferation of child pornography on the web and the absence of sufficient resources allocated to stomping out this problem. The legislation exists; the dollars don't. Bottom line: How can a private company get a $16 billion no bid contract when we have so many other needs?   Ask yourself: What can $16 billion buy? 
 
 
 …see more",Others
435,88720.0,500+,1 year ago,[],image,0,0,[],9,0,,"Good Morning message from Wrinkles:  remember he is a basset hound guided by his nose  — he thinks these words (and image) might improve work performance today (and every day): Wake up and smell the flowers. 
 
 
 …see more",Educational Resources
448,88720.0,500+,1 year ago,[],image,0,0,[],9,1,,"I just read an article in InsideHigherEd about the 15 new incoming students at Hampshire College. IHE referenced a Boston Globe article describing the feelings of these students and those who chose to attend elsewhere.   Because Hampshire is struggling, they limited 1st yr enrollment.  And of those accepted, only 15 students deposited.  Reflecting on small entry classes, why is  it necessarily a bad idea to be one of those students and for some, it cld be beneficial. Start w/ this: the students know the institution is struggling. They chose to go to an institution that is free spirited and now working to solve fiscal issues.   Might that be like an adventure for some? A bonding experience?  Being a part of something bigger?  Pursuing new pathway in higher ed?  Isn’t that the Hampshire way?  Anti-complacency?  Yes, it might be a costly student experiment—financially and otherwise. But, this is not pro forma college with consistency; this is like an entrepreneur’s start up.  I raise this because I’m still struggling to save a small college that wld clearly need a soft reboot. I don’t think all students wld avoid that. Some might like the effort, energy, commitment. Just saying: small entry classes aren’t all bad. These 15 students are bold and brave.  Bravo/brava. Rainbows. 
 
 
 …see more",Others
535,88720.0,500+,2 years ago,[],article,0,0,[],9,1,,"Read this.  It gives me hope.  And perhaps integrity has not fallen out of the dictionary after all.  Then and again, the threshold for hope is low.",Others
607,88720.0,500+,3 years ago,[],article,0,0,[],2,0,,I read this headline and thought that one of the current Justices had died and I had missed the news of this person's passing.  Phew. No one died.  Seems strange to offer up that list today and then to remain silent on Moore. Hum.,Others
609,88720.0,500+,3 years ago,[],image,0,0,[],47,11,,"Help me understand.   We have shootings in workplaces and that doesn't stop the way we treat violence and guns. We have shootings in an elementary school. Same outcome. We have shootings at a concert venue. Same outcome. We have shootings in churches (most recently in Texas). Same outcome.  We have shootings on campuses.  Same outcome.   Safe places -- work, worship, schools -- are now unsafe. Why aren't we doing anything about guns and gun violence?  Last time I checked, these guns were used to kill innocent people, not animals in the wild and not for self-protection.  Without some change, we will not see change in the violence is protected places. What kind of world is that? Oh, we blame mental illness.  Perhaps there has been mental diminution in those who have been the shooters. But, isn't there a link between access to weapons (their purchase and continued use) and gun violence? Might it be time to reconsider--finally --quality background checks, limits on numbers of purchases and a national database that works. What will it take? Post being shot, even Rep. Scalise was not against guns. 
 
 
 …see more",Others
635,88720.0,500+,3 years ago,[],article,0,0,[],29,6,,"This is a worthy read. After all that has happened with White Supremacists and violence, hiring Kaepernick should be seen as a plus not a minus. NFL is worth with its apparent ""black-balling"" -- as if kneeling takes away from the game (a game filled with its own issues). Goodness, hire Kaepernick and be proud. Speaking up and out is laudatory not negatory. 
 
 
 …see more",Others
647,88720.0,500+,3 years ago,"[['https://lnkd.in/dTZf4wG', 'https://lnkd.in/dTZf4wG']]",article,0,0,[],23,1,,"See this new article on Princeton and women in leadership. I think it re-hashes what we know (mentoring matters) and misses culture change and self reflection.  My comment follows link:  https://lnkd.in/dTZf4wG I am struck by the total focus on mentoring for women; this is important to be sure and it is not new. What is striking is that there is almost no mention of institutional culture and the need to change that. How important is it to create an environment in which women can thrive as leaders. Were I to institute a look-see at Princeton, I would look at culture first -- what is it in the culture that enables men to seek and thrive in leadership posts. Hard to look inward and admit that there may be cultural biases and impacts and auras. Hard to face a male dominated past and current culture. Hard to be honest about what is inhibiting success. Mentoring matters for real. But, it is not enough. No indeed. 
 
 
 …see more",Others
653,88720.0,500+,4 years ago,[],article,0,0,[],7,4,,"Looking forward to presenting at the Kennedy Institute June 14th on the intersection of art and politics (including dissent) and civic engagement.  Indeed, protest art is a key form of engagement.  If you are in the area, consider joining me:",Others
670,88720.0,500+,4 years ago,[],image,0,0,[],24,11,,"Here is what is worrying me (among other things): recommendation letters. There is a history of such letters being written for teachers to get new positions despite the fact that these teachers have abused students.  We often are less than honest (if omission counts) when we write letters of recommendation.  We assume receivers of letters can read between the lines and know that we are not truly recommending someone but we are being cautious to avoid charges of defamation, libel and other legal risks.   So, posit this hypothetical: write a recommendation letter for Bill O'Reilly.  What should it say? Would all references to sexual abuse/harassment be absent from such a letter?  Ponder this conundrum; recommendation letters are commonplace. 
 
 
 …see more",Others
688,88720.0,500+,4 years ago,[],article,0,0,[],6,0,,Can one even have a casual relationship with truth? I think not.  See:,Others
